Actual ,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NDTI
3.94,43,42,22,102,113,134,0,0,0,0,0.051162791
3.49,9,17,4,110,71,23,0,0,0,0,-0.215469613
3.9,21,19,181,386,299,256,36,31,22,6,-0.127007299
4.62,21,26,417,664,261,163,0,0,0,0,-0.435675676
3.45,71,75,366,594,267,178,14,18,27,18,-0.379790941
5.71,11,25,448,701,284,172,0,0,0,0,-0.423350254
13.11,316,263,668,964,551,481,203,215,217,219,-0.272607261
4.49,913,846,1232,1480,1188,1160,895,926,796,907,-0.109445277
2.56,58,61,90,215,163,142,0,0,0,0,-0.137566138
5.9,104,61,507,418,368,463,363,354,254,249,-0.063613232
3.48,7,8,0,13,44,83,0,0,0,0,0.543859649
4.59,5525,5245,7531,7284,7060,7616,7084,6798,6671,6491,-0.015616286
2.77,48,44,78,69,88,76,11,29,12,9,0.121019108
5.26,6,11,0,30,72,82,0,0,0,0,0.411764706
4.63,24,18,55,72,85,106,9,24,0,0,0.082802548
5.77,16,10,25,103,108,132,4,12,6,0,0.023696682
5.49,12,19,29,39,69,52,0,0,0,0,0.277777778
3.55,12,21,215,468,299,210,0,0,0,0,-0.220338983
3.35,1056,949,1108,1219,1191,1261,1090,1058,969,1014,-0.011618257
1.94,940,842,896,1017,1040,1076,898,896,833,893,0.011181332
1.88,22,31,22,106,84,92,0,0,0,0,-0.115789474
2.47,609,583,2244,2089,2025,2262,2231,2218,1880,2151,-0.015556636
2.84,532,497,507,537,540,591,461,490,442,452,0.002785515
1.79,248,237,279,308,318,346,166,168,152,165,0.015974441
2.7,62,57,0,17,56,60,0,0,0,0,0.534246575
1.47,229,184,117,139,190,263,145,145,113,161,0.155015198
1.56,375,302,530,504,478,546,500,557,446,528,-0.026476578
1.31,11,9,0,25,38,52,0,0,0,0,0.206349206
19.87,60,63,79,104,97,75,0,4,0,0,-0.034825871
1.55,38,37,31,74,53,55,0,0,0,0,-0.165354331
1.62,60,62,108,187,129,131,10,14,6,5,-0.183544304
2.15,20,23,31,159,101,84,0,0,0,0,-0.223076923
1.92,7,5,14,194,95,68,0,0,0,0,-0.342560554
2.84,70,59,347,434,250,221,66,76,61,49,-0.269005848
4.23,96,96,246,396,205,183,45,44,51,37,-0.317803661
